L1,L2
0.05,0.05
0.04,0.06
0.08,0.07
0.17,0.12
0.3,0.23
0.57,0.35
0.62,0.49
0.76,0.53
0.68,0.62
0.77,0.69
0.69,0.61
0.79,0.69
0.79,0.72
0.77,0.71
0.72,0.65
0.76,0.77
0.74,0.8
0.8,0.67
0.71,0.71
0.72,0.75
0.76,0.67
0.73,0.74
0.75,0.7
0.83,0.72
0.7,0.75
0.85,0.73
0.75,0.63
0.79,0.75
0.7,0.76
0.76,0.67
0.78,0.71
0.76,0.72
0.77,0.74
0.7,0.73
0.84,0.74
0.79,0.7
0.79,0.76
0.79,0.66
0.77,0.61
0.71,0.65
0.75,0.77
0.7,0.67
0.76,0.6
0.73,0.7
0.72,0.68
0.8,0.75
0.78,0.66
0.72,0.65
0.73,0.75
0.75,0.71
0.76,0.68
0.79,0.74
0.7,0.65
0.74,0.72
0.82,0.72
0.73,0.76
0.75,0.65
