L1,L2
0.05,0.05
0.09,0.04
0.12,0.08
0.14,0.14
0.27,0.23
0.48,0.35
0.6,0.58
0.71,0.69
0.68,0.62
0.77,0.67
0.69,0.7
0.74,0.73
0.73,0.67
0.68,0.66
0.73,0.7
0.73,0.76
0.66,0.7
0.67,0.77
0.7,0.71
0.68,0.71
0.77,0.65
0.73,0.78
0.74,0.72
0.73,0.65
0.78,0.71
0.71,0.76
0.67,0.71
0.67,0.74
0.7,0.69
0.66,0.77
0.7,0.59
0.69,0.7
0.72,0.66
0.71,0.64
0.81,0.68
0.74,0.65
0.74,0.76
0.7,0.78
0.78,0.73
0.77,0.73
0.65,0.62
0.72,0.7
0.65,0.72
0.74,0.71
0.7,0.63
0.76,0.71
0.74,0.65
0.68,0.68
0.68,0.7
0.69,0.7
0.68,0.74
0.64,0.78
0.67,0.7
0.66,0.75
0.68,0.67
0.69,0.73
0.74,0.68
0.8,0.78
0.76,0.7
0.71,0.73
0.71,0.63
0.69,0.7
